Title,Venue Link,Address,Maps Link
"Courtside Padel Social Club Worli","https://hudle.in/venues/courtside-padel-social-club-worli/302410","Courtside - Padel Social Club, Atria-The Millennium Mall, Doctor Annie Besant Road, above Inox, Lotus Colony, Worli, Mumbai, Maharashtra","https://www.google.com/maps?q=18.9914892,72.8144358"
"Epic Play | Lokhandwala","https://hudle.in/venues/epic-play-lokhandwala/110913","Plot no.7, P Tandon Marg, between Runwal Elegante and Royal Accord 3 and 4, Lokhandwala, Andheri West, Mumbai.","https://www.google.com/maps?q=19.1410749,72.8275553"
"7Padel X Super SportsPark","https://hudle.in/venues/super-sports-park-x-padel-park/639706","Parklane Apartments, Bandra West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0624603,72.8332501"
"The CourtRoom | R Odeon - Pickle and Padel","https://hudle.in/venues/the-courtroom-r-odeon-pickle-and-padel/706566","R Odeon Mall, MHADA Colony, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0796841,72.9093682"
"The Urban Arena Padel & Pickleball","https://hudle.in/venues/the-urban-arena-padel-pickleball/527066","The Urban Arena: Padel & Pickleball, Saki Vihar Road, Ganesh Nagar, Marol, Powai, Mumbai, Maharashtra","https://www.google.com/maps?q=19.1115133,72.8878699"
"Club De Padel | Celebrations Sports Club","https://hudle.in/venues/club-de-padel-celebrations-sports-club/703967","Ground Floor, Celebrations Sports Club, Garden No. 5, Lokhandwala Complex, Andheri West, Mumbai.","https://www.google.com/maps?q=19.151796,72.8275423"
"TSG x Inbox Woods Padel Arena l Goregaon East","https://hudle.in/venues/tsg-padel-arena-l-goregaon-east/164360","1st Floor, Italian Textile Compound, C/o. Parekh Prints, Terrace, Vikroli Link Road, off Western Urban Rd, Goregoan (E, Goregaon, Mumbai, Maharashtra 400063","https://www.google.com/maps?q=19.1748327,72.8565958"
"Urban Sports Padel l Juhu","https://hudle.in/venues/urban-sports-padel-l-juhu/170537","Urban Padel, Plot No. 44, C. P Goenka International School Compound, Gulmohar Road, JVPD Scheme, Juhu, Vile Parle West, Mumbai, Maharashtra 400049","https://www.google.com/maps?q=19.115746,72.835011"
"Urban Sports Zone Padel and Pickleball l GTC Vile Parle","https://hudle.in/venues/urban-sports-zone-padel-and-pickleball-l-gtc-vile-parle/881165","Urban Padel and Pickleball, 4th floor, Golden Tobacco House Limited, Swami Vivekanand Rd, Navpada, Vile Parle West, Mumbai, Maharashtra 400056.","https://www.google.com/maps?q=19.1047115,72.8389161"
"Urban Sports Padel l Andheri West","https://hudle.in/venues/urban-sports-padel-l-andheri-west/842346","Urban Padel, 101, Sidhudurg Bhavan Roof top, Anjan Marg, RTO Rd, Suresh Nagar, Andheri West, Mumbai, Maharashtra 400053.","https://www.google.com/maps?q=19.1333444,72.8258901"
"Urban Sports Padel & Pickleball | Vikhroli West","https://hudle.in/venues/urban-sports-padel-pickleball-vikhroli-west/646745","Urban Padel & Pickleball, BAR BANK - Vikhroli West, Veer Sawarkar Marg, near Kailash Industrial Estate, HMPL Surya Nagar, Vikhroli West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.1158355,72.9170135"
"Urban Sports Zone Padel And Pickleball l Mahalaxmi","https://hudle.in/venues/urban-sports-zone-padel-and-pickleball-l-mahalaxmi/543176","Urban Padel And Pickleball, Finland International School, SK Rathod Road, Arya Nagar, Dr Babasaheb Ambedkar Colony, Mahalakshmi, Mumbai, Maharashtra.","https://www.google.com/maps?q=18.9792015,72.8207236"
"Serve Society Kohinoor | Dadar West","https://hudle.in/venues/serve-society-kohinoor-dadar-west/351979","6th floor, West Tower Terrace, Kohinoor Square, N.C. Kelkar Marg, Ram Ganesh Gadkari Chowk, Dadar, W, Shivaji Park, Mumbai, Maharashtra 400028","https://www.google.com/maps?q=19.0249543,72.8416869"
"Padel Edition (MAZGAON)","https://hudle.in/venues/padel-edition/543846","E shed/grain depot, Reay Road, Sewri, Mumbai, Maharashtra","https://www.google.com/maps?q=18.9788728,72.845478"
"TSG x Inbox Woods Sports Arena | Eskay Club and Resorts","https://hudle.in/venues/tsg-sports-arena-l-eskay-resort-borivali-west/763358","TSG Sports Arena @ Eskay Resort, Eskay Road, off New Link Road, Eksar Village, Eksar, Borivali West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.2402166,72.8386232"
"The Cricket Club Of India","https://hudle.in/venues/the-cricket-club-of-india/180016","Stadium House, Churchgate, Mumbai 400020","https://www.google.com/maps?q=18.9314534,72.8245149"
"Super Sports Park Padel | Mulund West","https://hudle.in/venues/super-sports-park-padel-mulund-west/489354","Vasantdada Patil Shikshan Sansthan Pandurang Vidyalay, Vikas Paradise Tower I, Salpadevi Pada, L.B.S, Mumbai, Maharashtra 400080","https://www.google.com/maps?q=19.168296,72.9400502"
"Global Sports X TSG Padel | Andheri Sports Complex","https://hudle.in/venues/tsg-x-global-sports-padel-l-andheri-sports-complex/828393","TSG x Global Sports | Andheri Sports Complex Padel, JP Rd, Sahayog Society, Munshi Nagar, Andheri West, Mumbai, Maharashtra 400058, India","https://www.google.com/maps?q=19.1267975,72.8362698"
"Padelverse | Ranibaug","https://hudle.in/venues/padelverse-byculla/143992","Padelverse Ranibaug, AG Pawar Marg, New Patra Chawl, Dhaku Prabhuchi Wadi, Byculla East, Byculla, Mumbai, Maharashtra","https://www.google.com/maps?q=18.9834956,72.8383473"
"The Sports Foundry @Bhandup","https://hudle.in/venues/the-sports-foundry-at-bhandup/947046","Rolex Metal Industries Compound, Village Road, LBS Marg, Bhandup West, Mumbai, Maharashtra - 400078","https://www.google.com/maps?q=19.1520905,72.9383075"
"Velocity Sports Park | Ghatkopar West","https://hudle.in/venues/velocity-sports-park-badminton-ghatkopar-west/839837","Velocity Sports Park, Karani Ln, Ghatkopar West, Mumbai, Maharashtra.","https://www.google.com/maps?q=19.0866736,72.9045905"
"Hiray College Padel & Pickleball Park | Bandra","https://hudle.in/venues/hiray-college-padel-pickleball-park-bandra/381076","Hiray College, near Kherwadi Police Station, next to New English School Marg, Government Colony, Bandra East, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0666354,72.8493249"
"Racquet Republic | Sacred Heart Khar","https://hudle.in/venues/courts-at-heart-santacruz-west/666893","Inside Sacred Heart Boys High School, Swami Vivekanand Rd, Khar, Ram Krishna Nagar, Santacruz (West), Mumbai, Maharashtra.","https://www.google.com/maps?q=19.0744059,72.8385495"
"The Club - Mumbai","https://hudle.in/venues/the-club-members-only-testing/399490","The Club Mumbai, 197, Shakti Nagar, Shanti Nagar, D.N.Nagar, Andheri West, Mumbai, Maharashtra.","https://www.google.com/maps?q=19.121409,72.831864"
"Ace Padel Andheri","https://hudle.in/venues/ace-padel-andheri-east/993497","ACE PADEL ANDHERI, Mahakali Caves Road, opposite manika apartment, near satya sai baba temple close, MMRDA Colony, Andheri East, Mumbai, Maharashtra","https://www.google.com/maps?q=19.1314694,72.8719125"
